LengthOfService
7.02
3.47
2.07
1.78
4.42
3.29
3.05
0.49
0.61
3.12
2.95
2.15
4.03
3.53
2.47
2.15
3.27
1.1
1.78
1.94
2.91
3.02
2.53
1.84
2.88
2.2
1.44
2.53
1.41
1.08
0.98
0.63
1.3
2.13
2.3
2.05
2.13
2.12
2.16
2.04
1.7
2.11
1.75
2.15
2.12
0.37
1.95
1.02
1.26
1.04
1.64
1.75
1.71
1.29
1.48
1.31
1.46
1.88
1.16
1.16
1.05
0.96
1.24
0.81
0.87
0.99
0.76
0.32
0.35
0.57
